alpha,lib_cut,max_iter,tol,performance_score
0.06999999999999999,40.0,20.0,1e-05,0.6933389473684209
0.06999999999999999,40.0,20.0,1e-06,0.6933389473684209
0.06999999999999999,40.0,40.0,0.001,0.6933423157894736
0.06999999999999999,40.0,40.0,0.0001,0.6933423157894736
0.06999999999999999,40.0,40.0,1e-05,0.6933423157894736
0.06999999999999999,40.0,40.0,1e-06,0.6933423157894736
0.06999999999999999,40.0,50.0,0.001,0.6933423157894736
0.06999999999999999,40.0,50.0,0.0001,0.6933423157894736
0.06999999999999999,40.0,50.0,1e-05,0.6933423157894736
0.06999999999999999,40.0,50.0,1e-06,0.6933423157894736
0.06999999999999999,40.0,75.0,0.001,0.693344
0.06999999999999999,40.0,75.0,0.0001,0.693344
0.06999999999999999,40.0,75.0,1e-05,0.693344
0.06999999999999999,40.0,75.0,1e-06,0.693344
0.06999999999999999,40.0,100.0,0.001,0.693344
0.06999999999999999,40.0,100.0,0.0001,0.693344
0.06999999999999999,40.0,100.0,1e-05,0.693344
0.06999999999999999,40.0,100.0,1e-06,0.693344
0.06999999999999999,40.0,125.0,0.001,0.693344
0.06999999999999999,40.0,125.0,0.0001,0.693344
0.06999999999999999,40.0,125.0,1e-05,0.693344
0.06999999999999999,40.0,125.0,1e-06,0.693344
0.06999999999999999,40.0,150.0,0.001,0.693344
0.06999999999999999,40.0,150.0,0.0001,0.693344
0.06999999999999999,40.0,150.0,1e-05,0.693344
0.06999999999999999,40.0,150.0,1e-06,0.693344
0.06999999999999999,40.0,175.0,0.001,0.693344
0.06999999999999999,40.0,175.0,0.0001,0.693344
0.06999999999999999,40.0,175.0,1e-05,0.693344
0.06999999999999999,40.0,175.0,1e-06,0.693344
0.06999999999999999,40.0,200.0,0.001,0.693344
0.06999999999999999,40.0,200.0,0.0001,0.693344
0.06999999999999999,40.0,200.0,1e-05,0.693344
0.06999999999999999,40.0,200.0,1e-06,0.693344
0.06999999999999999,50.0,20.0,0.001,0.6933389473684209
0.06999999999999999,50.0,20.0,0.0001,0.6933389473684209
0.06999999999999999,50.0,20.0,1e-05,0.6933389473684209
0.06999999999999999,50.0,20.0,1e-06,0.6933389473684209
0.06999999999999999,50.0,40.0,0.001,0.6933423157894736
0.06999999999999999,50.0,40.0,0.0001,0.6933423157894736
0.06999999999999999,50.0,40.0,1e-05,0.6933423157894736
0.06999999999999999,50.0,40.0,1e-06,0.6933423157894736
0.06999999999999999,50.0,50.0,0.001,0.6933423157894736
0.06999999999999999,50.0,50.0,0.0001,0.6933423157894736
0.06999999999999999,50.0,50.0,1e-05,0.6933423157894736
0.06999999999999999,50.0,50.0,1e-06,0.6933423157894736
0.06999999999999999,50.0,75.0,0.001,0.693344
0.06999999999999999,50.0,75.0,0.0001,0.693344
0.06999999999999999,50.0,75.0,1e-05,0.693344
0.06999999999999999,50.0,75.0,1e-06,0.693344
0.06999999999999999,50.0,100.0,0.001,0.693344
0.06999999999999999,50.0,100.0,0.0001,0.693344
0.06999999999999999,50.0,100.0,1e-05,0.693344
0.06999999999999999,50.0,100.0,1e-06,0.693344
0.06999999999999999,50.0,125.0,0.001,0.693344
0.06999999999999999,50.0,125.0,0.0001,0.693344
0.06999999999999999,50.0,125.0,1e-05,0.693344
0.06999999999999999,50.0,125.0,1e-06,0.693344
0.06999999999999999,50.0,150.0,0.001,0.693344
0.06999999999999999,50.0,150.0,0.0001,0.693344
0.06999999999999999,50.0,150.0,1e-05,0.693344
0.06999999999999999,50.0,150.0,1e-06,0.693344
0.06999999999999999,50.0,175.0,0.001,0.693344
0.06999999999999999,50.0,175.0,0.0001,0.693344
0.06999999999999999,50.0,175.0,1e-05,0.693344
0.06999999999999999,50.0,175.0,1e-06,0.693344
0.06999999999999999,50.0,200.0,0.001,0.693344
0.06999999999999999,50.0,200.0,0.0001,0.693344
0.06999999999999999,50.0,200.0,1e-05,0.693344
0.06999999999999999,50.0,200.0,1e-06,0.693344
0.06999999999999999,60.0,20.0,0.001,0.6933389473684209
0.06999999999999999,60.0,20.0,0.0001,0.6933389473684209
0.06999999999999999,60.0,20.0,1e-05,0.6933389473684209
0.06999999999999999,60.0,20.0,1e-06,0.6933389473684209
0.06999999999999999,60.0,40.0,0.001,0.6933423157894736
0.06999999999999999,60.0,40.0,0.0001,0.6933423157894736
0.06999999999999999,60.0,40.0,1e-05,0.6933423157894736
0.06999999999999999,60.0,40.0,1e-06,0.6933423157894736
0.06999999999999999,60.0,50.0,0.001,0.6933423157894736
0.06999999999999999,60.0,50.0,0.0001,0.6933423157894736
0.06999999999999999,60.0,50.0,1e-05,0.6933423157894736
0.06999999999999999,60.0,50.0,1e-06,0.6933423157894736
0.06999999999999999,60.0,75.0,0.001,0.693344
0.06999999999999999,60.0,75.0,0.0001,0.693344
0.06999999999999999,60.0,75.0,1e-05,0.693344
0.06999999999999999,60.0,75.0,1e-06,0.693344
0.06999999999999999,60.0,100.0,0.001,0.693344
0.06999999999999999,60.0,100.0,0.0001,0.693344
0.06999999999999999,60.0,100.0,1e-05,0.693344
0.06999999999999999,60.0,100.0,1e-06,0.693344
0.06999999999999999,60.0,125.0,0.001,0.693344
0.06999999999999999,60.0,125.0,0.0001,0.693344
0.06999999999999999,60.0,125.0,1e-05,0.693344
0.06999999999999999,60.0,125.0,1e-06,0.693344
0.06999999999999999,60.0,150.0,0.001,0.693344
0.06999999999999999,60.0,150.0,0.0001,0.693344
0.06999999999999999,60.0,150.0,1e-05,0.693344
0.06999999999999999,60.0,150.0,1e-06,0.693344
0.06999999999999999,60.0,175.0,0.001,0.693344
0.06999999999999999,60.0,175.0,0.0001,0.693344
0.06999999999999999,60.0,175.0,1e-05,0.693344
0.06999999999999999,60.0,175.0,1e-06,0.693344
0.06999999999999999,60.0,200.0,0.001,0.693344
0.06999999999999999,60.0,200.0,0.0001,0.693344
0.06999999999999999,60.0,200.0,1e-05,0.693344
0.06999999999999999,60.0,200.0,1e-06,0.693344
0.06999999999999999,70.0,20.0,0.001,0.6933389473684209
0.06999999999999999,70.0,20.0,0.0001,0.6933389473684209
0.06999999999999999,70.0,20.0,1e-05,0.6933389473684209
0.06999999999999999,70.0,20.0,1e-06,0.6933389473684209
0.06999999999999999,70.0,40.0,0.001,0.6933423157894736
0.06999999999999999,70.0,40.0,0.0001,0.6933423157894736
0.06999999999999999,70.0,40.0,1e-05,0.6933423157894736
0.06999999999999999,70.0,40.0,1e-06,0.6933423157894736
0.06999999999999999,70.0,50.0,0.001,0.6933423157894736
0.06999999999999999,70.0,50.0,0.0001,0.6933423157894736
0.06999999999999999,70.0,50.0,1e-05,0.6933423157894736
0.06999999999999999,70.0,50.0,1e-06,0.6933423157894736
0.06999999999999999,70.0,75.0,0.001,0.693344
0.06999999999999999,70.0,75.0,0.0001,0.693344
0.06999999999999999,70.0,75.0,1e-05,0.693344
0.06999999999999999,70.0,75.0,1e-06,0.693344
0.06999999999999999,70.0,100.0,0.001,0.693344
0.06999999999999999,70.0,100.0,0.0001,0.693344
0.06999999999999999,70.0,100.0,1e-05,0.693344
0.06999999999999999,70.0,100.0,1e-06,0.693344
0.06999999999999999,70.0,125.0,0.001,0.693344
0.06999999999999999,70.0,125.0,0.0001,0.693344
0.06999999999999999,70.0,125.0,1e-05,0.693344
0.06999999999999999,70.0,125.0,1e-06,0.693344
0.06999999999999999,70.0,150.0,0.001,0.693344
0.06999999999999999,70.0,150.0,0.0001,0.693344
0.06999999999999999,70.0,150.0,1e-05,0.693344
0.06999999999999999,70.0,150.0,1e-06,0.693344
0.06999999999999999,70.0,175.0,0.001,0.693344
0.06999999999999999,70.0,175.0,0.0001,0.693344
0.06999999999999999,70.0,175.0,1e-05,0.693344
0.06999999999999999,70.0,175.0,1e-06,0.693344
0.06999999999999999,70.0,200.0,0.001,0.693344
0.06999999999999999,70.0,200.0,0.0001,0.693344
0.06999999999999999,70.0,200.0,1e-05,0.693344
0.06999999999999999,70.0,200.0,1e-06,0.693344
0.06999999999999999,80.0,20.0,0.001,0.6933389473684209
0.06999999999999999,80.0,20.0,0.0001,0.6933389473684209
0.06999999999999999,80.0,20.0,1e-05,0.6933389473684209
0.06999999999999999,80.0,20.0,1e-06,0.6933389473684209
0.06999999999999999,80.0,40.0,0.001,0.6933423157894736
0.06999999999999999,80.0,40.0,0.0001,0.6933423157894736
0.06999999999999999,80.0,40.0,1e-05,0.6933423157894736
0.06999999999999999,80.0,40.0,1e-06,0.6933423157894736
0.06999999999999999,80.0,50.0,0.001,0.6933423157894736
0.06999999999999999,80.0,50.0,0.0001,0.6933423157894736
0.06999999999999999,80.0,50.0,1e-05,0.6933423157894736
0.06999999999999999,80.0,50.0,1e-06,0.6933423157894736
0.06999999999999999,80.0,75.0,0.001,0.693344
0.06999999999999999,80.0,75.0,0.0001,0.693344
0.06999999999999999,80.0,75.0,1e-05,0.693344
0.06999999999999999,80.0,75.0,1e-06,0.693344
0.06999999999999999,80.0,100.0,0.001,0.693344
0.06999999999999999,80.0,100.0,0.0001,0.693344
0.06999999999999999,80.0,100.0,1e-05,0.693344
0.06999999999999999,80.0,100.0,1e-06,0.693344
0.06999999999999999,80.0,125.0,0.001,0.693344
0.06999999999999999,80.0,125.0,0.0001,0.693344
0.06999999999999999,80.0,125.0,1e-05,0.693344
0.06999999999999999,80.0,125.0,1e-06,0.693344
0.06999999999999999,80.0,150.0,0.001,0.693344
0.06999999999999999,80.0,150.0,0.0001,0.693344
0.06999999999999999,80.0,150.0,1e-05,0.693344
0.06999999999999999,80.0,150.0,1e-06,0.693344
0.06999999999999999,80.0,175.0,0.001,0.693344
0.06999999999999999,80.0,175.0,0.0001,0.693344
0.06999999999999999,80.0,175.0,1e-05,0.693344
0.06999999999999999,80.0,175.0,1e-06,0.693344
0.06999999999999999,80.0,200.0,0.001,0.693344
0.06999999999999999,80.0,200.0,0.0001,0.693344
0.06999999999999999,80.0,200.0,1e-05,0.693344
0.06999999999999999,80.0,200.0,1e-06,0.693344
0.06999999999999999,90.0,20.0,0.001,0.6933389473684209
0.06999999999999999,90.0,20.0,0.0001,0.6933389473684209
0.06999999999999999,90.0,20.0,1e-05,0.6933389473684209
0.06999999999999999,90.0,20.0,1e-06,0.6933389473684209
0.06999999999999999,90.0,40.0,0.001,0.6933423157894736
0.06999999999999999,90.0,40.0,0.0001,0.6933423157894736
0.06999999999999999,90.0,40.0,1e-05,0.6933423157894736
0.06999999999999999,90.0,40.0,1e-06,0.6933423157894736
0.06999999999999999,90.0,50.0,0.001,0.6933423157894736
0.06999999999999999,90.0,50.0,0.0001,0.6933423157894736
0.06999999999999999,90.0,50.0,1e-05,0.6933423157894736
0.06999999999999999,90.0,50.0,1e-06,0.6933423157894736
0.06999999999999999,90.0,75.0,0.001,0.693344
0.06999999999999999,90.0,75.0,0.0001,0.693344
0.06999999999999999,90.0,75.0,1e-05,0.693344
0.06999999999999999,90.0,75.0,1e-06,0.693344
0.06999999999999999,90.0,100.0,0.001,0.693344
0.06999999999999999,90.0,100.0,0.0001,0.693344
0.06999999999999999,90.0,100.0,1e-05,0.693344
0.06999999999999999,90.0,100.0,1e-06,0.693344
0.06999999999999999,90.0,125.0,0.001,0.693344
0.06999999999999999,90.0,125.0,0.0001,0.693344
0.06999999999999999,90.0,125.0,1e-05,0.693344
0.06999999999999999,90.0,125.0,1e-06,0.693344
0.06999999999999999,90.0,150.0,0.001,0.693344
0.06999999999999999,90.0,150.0,0.0001,0.693344
0.06999999999999999,90.0,150.0,1e-05,0.693344
0.06999999999999999,90.0,150.0,1e-06,0.693344
0.06999999999999999,90.0,175.0,0.001,0.693344
0.06999999999999999,90.0,175.0,0.0001,0.693344
0.06999999999999999,90.0,175.0,1e-05,0.693344
0.06999999999999999,90.0,175.0,1e-06,0.693344
0.06999999999999999,90.0,200.0,0.001,0.693344
0.06999999999999999,90.0,200.0,0.0001,0.693344
0.06999999999999999,90.0,200.0,1e-05,0.693344
0.06999999999999999,90.0,200.0,1e-06,0.693344
0.08,0.0,20.0,0.001,0.6933389473684209
0.08,0.0,20.0,0.0001,0.6933389473684209
0.08,0.0,20.0,1e-05,0.6933389473684209
0.08,0.0,20.0,1e-06,0.6933389473684209
0.08,0.0,40.0,0.001,0.6933423157894736
0.08,0.0,40.0,0.0001,0.6933423157894736
0.08,0.0,40.0,1e-05,0.6933423157894736
0.08,0.0,40.0,1e-06,0.6933423157894736
0.08,0.0,50.0,0.001,0.6933423157894736
0.08,0.0,50.0,0.0001,0.6933423157894736
0.08,0.0,50.0,1e-05,0.6933423157894736
0.08,0.0,50.0,1e-06,0.6933423157894736
0.08,0.0,75.0,0.001,0.693344
0.08,0.0,75.0,0.0001,0.693344
0.08,0.0,75.0,1e-05,0.693344
0.08,0.0,75.0,1e-06,0.693344
0.08,0.0,100.0,0.001,0.693344
0.08,0.0,100.0,0.0001,0.693344
0.08,0.0,100.0,1e-05,0.693344
0.08,0.0,100.0,1e-06,0.693344
0.08,0.0,125.0,0.001,0.693344
0.08,0.0,125.0,0.0001,0.693344
0.08,0.0,125.0,1e-05,0.693344
0.08,0.0,125.0,1e-06,0.693344
0.08,0.0,150.0,0.001,0.693344
0.08,0.0,150.0,0.0001,0.693344
0.08,0.0,150.0,1e-05,0.693344
0.08,0.0,150.0,1e-06,0.693344
0.08,0.0,175.0,0.001,0.693344
0.08,0.0,175.0,0.0001,0.693344
0.08,0.0,175.0,1e-05,0.693344
0.08,0.0,175.0,1e-06,0.693344
0.08,0.0,200.0,0.001,0.693344
0.08,0.0,200.0,0.0001,0.693344
0.08,0.0,200.0,1e-05,0.693344
0.08,0.0,200.0,1e-06,0.693344
0.08,10.0,20.0,0.001,0.6933389473684209
0.08,10.0,20.0,0.0001,0.6933389473684209
0.08,10.0,20.0,1e-05,0.6933389473684209
0.08,10.0,20.0,1e-06,0.6933389473684209
0.08,10.0,40.0,0.001,0.6933423157894736
0.08,10.0,40.0,0.0001,0.6933423157894736
0.08,10.0,40.0,1e-05,0.6933423157894736
0.08,10.0,40.0,1e-06,0.6933423157894736
0.08,10.0,50.0,0.001,0.6933423157894736
0.08,10.0,50.0,0.0001,0.6933423157894736
0.08,10.0,50.0,1e-05,0.6933423157894736
0.08,10.0,50.0,1e-06,0.6933423157894736
0.08,10.0,75.0,0.001,0.693344
0.08,10.0,75.0,0.0001,0.693344
0.08,10.0,75.0,1e-05,0.693344
0.08,10.0,75.0,1e-06,0.693344
0.08,10.0,100.0,0.001,0.693344
0.08,10.0,100.0,0.0001,0.693344
0.08,10.0,100.0,1e-05,0.693344
0.08,10.0,100.0,1e-06,0.693344
0.08,10.0,125.0,0.001,0.693344
0.08,10.0,125.0,0.0001,0.693344
0.08,10.0,125.0,1e-05,0.693344
0.08,10.0,125.0,1e-06,0.693344
0.08,10.0,150.0,0.001,0.693344
0.08,10.0,150.0,0.0001,0.693344
0.08,10.0,150.0,1e-05,0.693344
0.08,10.0,150.0,1e-06,0.693344
0.08,10.0,175.0,0.001,0.693344
0.08,10.0,175.0,0.0001,0.693344
0.08,10.0,175.0,1e-05,0.693344
0.08,10.0,175.0,1e-06,0.693344
0.08,10.0,200.0,0.001,0.693344
0.08,10.0,200.0,0.0001,0.693344
0.08,10.0,200.0,1e-05,0.693344
0.08,10.0,200.0,1e-06,0.693344
0.08,20.0,20.0,0.001,0.6933389473684209
0.08,20.0,20.0,0.0001,0.6933389473684209
0.08,20.0,20.0,1e-05,0.6933389473684209
0.08,20.0,20.0,1e-06,0.6933389473684209
0.08,20.0,40.0,0.001,0.6933423157894736
0.08,20.0,40.0,0.0001,0.6933423157894736
0.08,20.0,40.0,1e-05,0.6933423157894736
0.08,20.0,40.0,1e-06,0.6933423157894736
0.08,20.0,50.0,0.001,0.6933423157894736
0.08,20.0,50.0,0.0001,0.6933423157894736
0.08,20.0,50.0,1e-05,0.6933423157894736
0.08,20.0,50.0,1e-06,0.6933423157894736
0.08,20.0,75.0,0.001,0.693344
0.08,20.0,75.0,0.0001,0.693344
0.08,20.0,75.0,1e-05,0.693344
0.08,20.0,75.0,1e-06,0.693344
0.08,20.0,100.0,0.001,0.693344
0.08,20.0,100.0,0.0001,0.693344
0.08,20.0,100.0,1e-05,0.693344
0.08,20.0,100.0,1e-06,0.693344
0.08,20.0,125.0,0.001,0.693344
0.08,20.0,125.0,0.0001,0.693344
0.08,20.0,125.0,1e-05,0.693344
0.08,20.0,125.0,1e-06,0.693344
0.08,20.0,150.0,0.001,0.693344
0.08,20.0,150.0,0.0001,0.693344
0.08,20.0,150.0,1e-05,0.693344
0.08,20.0,150.0,1e-06,0.693344
0.08,20.0,175.0,0.001,0.693344
0.08,20.0,175.0,0.0001,0.693344
0.08,20.0,175.0,1e-05,0.693344
0.08,20.0,175.0,1e-06,0.693344
0.08,20.0,200.0,0.001,0.693344
0.08,20.0,200.0,0.0001,0.693344
0.08,20.0,200.0,1e-05,0.693344
0.08,20.0,200.0,1e-06,0.693344
0.08,30.0,20.0,0.001,0.6933389473684209
0.08,30.0,20.0,0.0001,0.6933389473684209
0.08,30.0,20.0,1e-05,0.6933389473684209
0.08,30.0,20.0,1e-06,0.6933389473684209
0.08,30.0,40.0,0.001,0.6933423157894736
0.08,30.0,40.0,0.0001,0.6933423157894736
0.08,30.0,40.0,1e-05,0.6933423157894736
0.08,30.0,40.0,1e-06,0.6933423157894736
0.08,30.0,50.0,0.001,0.6933423157894736
0.08,30.0,50.0,0.0001,0.6933423157894736
0.08,30.0,50.0,1e-05,0.6933423157894736
0.08,30.0,50.0,1e-06,0.6933423157894736
0.08,30.0,75.0,0.001,0.693344
0.08,30.0,75.0,0.0001,0.693344
0.08,30.0,75.0,1e-05,0.693344
0.08,30.0,75.0,1e-06,0.693344
0.08,30.0,100.0,0.001,0.693344
0.08,30.0,100.0,0.0001,0.693344
0.08,30.0,100.0,1e-05,0.693344
0.08,30.0,100.0,1e-06,0.693344
0.08,30.0,125.0,0.001,0.693344
0.08,30.0,125.0,0.0001,0.693344
0.08,30.0,125.0,1e-05,0.693344
0.08,30.0,125.0,1e-06,0.693344
0.08,30.0,150.0,0.001,0.693344
0.08,30.0,150.0,0.0001,0.693344
0.08,30.0,150.0,1e-05,0.693344
0.08,30.0,150.0,1e-06,0.693344
0.08,30.0,175.0,0.001,0.693344
0.08,30.0,175.0,0.0001,0.693344
0.08,30.0,175.0,1e-05,0.693344
0.08,30.0,175.0,1e-06,0.693344
0.08,30.0,200.0,0.001,0.693344
0.08,30.0,200.0,0.0001,0.693344
0.08,30.0,200.0,1e-05,0.693344
0.08,30.0,200.0,1e-06,0.693344
0.08,40.0,20.0,0.001,0.6933389473684209
0.08,40.0,20.0,0.0001,0.6933389473684209
0.08,40.0,20.0,1e-05,0.6933389473684209
0.08,40.0,20.0,1e-06,0.6933389473684209
0.08,40.0,40.0,0.001,0.6933423157894736
0.08,40.0,40.0,0.0001,0.6933423157894736
0.08,40.0,40.0,1e-05,0.6933423157894736
0.08,40.0,40.0,1e-06,0.6933423157894736
0.08,40.0,50.0,0.001,0.6933423157894736
0.08,40.0,50.0,0.0001,0.6933423157894736
0.08,40.0,50.0,1e-05,0.6933423157894736
0.08,40.0,50.0,1e-06,0.6933423157894736
0.08,40.0,75.0,0.001,0.693344
0.08,40.0,75.0,0.0001,0.693344
0.08,40.0,75.0,1e-05,0.693344
0.08,40.0,75.0,1e-06,0.693344
0.08,40.0,100.0,0.001,0.693344
0.08,40.0,100.0,0.0001,0.693344
0.08,40.0,100.0,1e-05,0.693344
0.08,40.0,100.0,1e-06,0.693344
0.08,40.0,125.0,0.001,0.693344
0.08,40.0,125.0,0.0001,0.693344
0.08,40.0,125.0,1e-05,0.693344
0.08,40.0,125.0,1e-06,0.693344
0.08,40.0,150.0,0.001,0.693344
0.08,40.0,150.0,0.0001,0.693344
0.08,40.0,150.0,1e-05,0.693344
0.08,40.0,150.0,1e-06,0.693344
0.08,40.0,175.0,0.001,0.693344
0.08,40.0,175.0,0.0001,0.693344
0.08,40.0,175.0,1e-05,0.693344
0.08,40.0,175.0,1e-06,0.693344
0.08,40.0,200.0,0.001,0.693344
0.08,40.0,200.0,0.0001,0.693344
0.08,40.0,200.0,1e-05,0.693344
0.08,40.0,200.0,1e-06,0.693344
0.08,50.0,20.0,0.001,0.6933389473684209
0.08,50.0,20.0,0.0001,0.6933389473684209
0.08,50.0,20.0,1e-05,0.6933389473684209
0.08,50.0,20.0,1e-06,0.6933389473684209
0.08,50.0,40.0,0.001,0.6933423157894736
0.08,50.0,40.0,0.0001,0.6933423157894736
0.08,50.0,40.0,1e-05,0.6933423157894736
0.08,50.0,40.0,1e-06,0.6933423157894736
0.08,50.0,50.0,0.001,0.6933423157894736
0.08,50.0,50.0,0.0001,0.6933423157894736
0.08,50.0,50.0,1e-05,0.6933423157894736
0.08,50.0,50.0,1e-06,0.6933423157894736
0.08,50.0,75.0,0.001,0.693344
0.08,50.0,75.0,0.0001,0.693344
0.08,50.0,75.0,1e-05,0.693344
0.08,50.0,75.0,1e-06,0.693344
0.08,50.0,100.0,0.001,0.693344
0.08,50.0,100.0,0.0001,0.693344
0.08,50.0,100.0,1e-05,0.693344
0.08,50.0,100.0,1e-06,0.693344
0.08,50.0,125.0,0.001,0.693344
0.08,50.0,125.0,0.0001,0.693344
0.08,50.0,125.0,1e-05,0.693344
0.08,50.0,125.0,1e-06,0.693344
0.08,50.0,150.0,0.001,0.693344
0.08,50.0,150.0,0.0001,0.693344
0.08,50.0,150.0,1e-05,0.693344
0.08,50.0,150.0,1e-06,0.693344
0.08,50.0,175.0,0.001,0.693344
0.08,50.0,175.0,0.0001,0.693344
0.08,50.0,175.0,1e-05,0.693344
0.08,50.0,175.0,1e-06,0.693344
0.08,50.0,200.0,0.001,0.693344
0.08,50.0,200.0,0.0001,0.693344
0.08,50.0,200.0,1e-05,0.693344
0.08,50.0,200.0,1e-06,0.693344
0.08,60.0,20.0,0.001,0.6933389473684209
0.08,60.0,20.0,0.0001,0.6933389473684209
0.08,60.0,20.0,1e-05,0.6933389473684209
0.08,60.0,20.0,1e-06,0.6933389473684209
0.08,60.0,40.0,0.001,0.6933423157894736
0.08,60.0,40.0,0.0001,0.6933423157894736
0.08,60.0,40.0,1e-05,0.6933423157894736
0.08,60.0,40.0,1e-06,0.6933423157894736
0.08,60.0,50.0,0.001,0.6933423157894736
0.08,60.0,50.0,0.0001,0.6933423157894736
0.08,60.0,50.0,1e-05,0.6933423157894736
0.08,60.0,50.0,1e-06,0.6933423157894736
0.08,60.0,75.0,0.001,0.693344
0.08,60.0,75.0,0.0001,0.693344
0.08,60.0,75.0,1e-05,0.693344
0.08,60.0,75.0,1e-06,0.693344
0.08,60.0,100.0,0.001,0.693344
0.08,60.0,100.0,0.0001,0.693344
0.08,60.0,100.0,1e-05,0.693344
0.08,60.0,100.0,1e-06,0.693344
0.08,60.0,125.0,0.001,0.693344
0.08,60.0,125.0,0.0001,0.693344
0.08,60.0,125.0,1e-05,0.693344
0.08,60.0,125.0,1e-06,0.693344
0.08,60.0,150.0,0.001,0.693344
0.08,60.0,150.0,0.0001,0.693344
0.08,60.0,150.0,1e-05,0.693344
0.08,60.0,150.0,1e-06,0.693344
0.08,60.0,175.0,0.001,0.693344
0.08,60.0,175.0,0.0001,0.693344
0.08,60.0,175.0,1e-05,0.693344
0.08,60.0,175.0,1e-06,0.693344
0.08,60.0,200.0,0.001,0.693344
0.08,60.0,200.0,0.0001,0.693344
0.08,60.0,200.0,1e-05,0.693344
0.08,60.0,200.0,1e-06,0.693344
0.08,70.0,20.0,0.001,0.6933389473684209
0.08,70.0,20.0,0.0001,0.6933389473684209
0.08,70.0,20.0,1e-05,0.6933389473684209
0.08,70.0,20.0,1e-06,0.6933389473684209
0.08,70.0,40.0,0.001,0.6933423157894736
0.08,70.0,40.0,0.0001,0.6933423157894736
0.08,70.0,40.0,1e-05,0.6933423157894736
0.08,70.0,40.0,1e-06,0.6933423157894736
0.08,70.0,50.0,0.001,0.6933423157894736
0.08,70.0,50.0,0.0001,0.6933423157894736
0.08,70.0,50.0,1e-05,0.6933423157894736
0.08,70.0,50.0,1e-06,0.6933423157894736
0.08,70.0,75.0,0.001,0.693344
0.08,70.0,75.0,0.0001,0.693344
0.08,70.0,75.0,1e-05,0.693344
0.08,70.0,75.0,1e-06,0.693344
0.08,70.0,100.0,0.001,0.693344
0.08,70.0,100.0,0.0001,0.693344
0.08,70.0,100.0,1e-05,0.693344
0.08,70.0,100.0,1e-06,0.693344
0.08,70.0,125.0,0.001,0.693344
0.08,70.0,125.0,0.0001,0.693344
0.08,70.0,125.0,1e-05,0.693344
0.08,70.0,125.0,1e-06,0.693344
0.08,70.0,150.0,0.001,0.693344
0.08,70.0,150.0,0.0001,0.693344
0.08,70.0,150.0,1e-05,0.693344
0.08,70.0,150.0,1e-06,0.693344
0.08,70.0,175.0,0.001,0.693344
0.08,70.0,175.0,0.0001,0.693344
0.08,70.0,175.0,1e-05,0.693344
0.08,70.0,175.0,1e-06,0.693344
0.08,70.0,200.0,0.001,0.693344
0.08,70.0,200.0,0.0001,0.693344
0.08,70.0,200.0,1e-05,0.693344
0.08,70.0,200.0,1e-06,0.693344
0.08,80.0,20.0,0.001,0.6933389473684209
0.08,80.0,20.0,0.0001,0.6933389473684209
0.08,80.0,20.0,1e-05,0.6933389473684209
0.08,80.0,20.0,1e-06,0.6933389473684209
0.08,80.0,40.0,0.001,0.6933423157894736
0.08,80.0,40.0,0.0001,0.6933423157894736
0.08,80.0,40.0,1e-05,0.6933423157894736
0.08,80.0,40.0,1e-06,0.6933423157894736
0.08,80.0,50.0,0.001,0.6933423157894736
0.08,80.0,50.0,0.0001,0.6933423157894736
0.08,80.0,50.0,1e-05,0.6933423157894736
0.08,80.0,50.0,1e-06,0.6933423157894736
0.08,80.0,75.0,0.001,0.693344
0.08,80.0,75.0,0.0001,0.693344
0.08,80.0,75.0,1e-05,0.693344
0.08,80.0,75.0,1e-06,0.693344
0.08,80.0,100.0,0.001,0.693344
0.08,80.0,100.0,0.0001,0.693344
0.08,80.0,100.0,1e-05,0.693344
0.08,80.0,100.0,1e-06,0.693344
0.08,80.0,125.0,0.001,0.693344
0.08,80.0,125.0,0.0001,0.693344
0.08,80.0,125.0,1e-05,0.693344
0.08,80.0,125.0,1e-06,0.693344
0.08,80.0,150.0,0.001,0.693344
0.08,80.0,150.0,0.0001,0.693344
0.08,80.0,150.0,1e-05,0.693344
0.08,80.0,150.0,1e-06,0.693344
0.08,80.0,175.0,0.001,0.693344
0.08,80.0,175.0,0.0001,0.693344
0.08,80.0,175.0,1e-05,0.693344
0.08,80.0,175.0,1e-06,0.693344
0.08,80.0,200.0,0.001,0.693344
0.08,80.0,200.0,0.0001,0.693344
0.08,80.0,200.0,1e-05,0.693344
0.08,80.0,200.0,1e-06,0.693344
0.08,90.0,20.0,0.001,0.6933389473684209
0.08,90.0,20.0,0.0001,0.6933389473684209
0.08,90.0,20.0,1e-05,0.6933389473684209
0.08,90.0,20.0,1e-06,0.6933389473684209
0.08,90.0,40.0,0.001,0.6933423157894736
0.08,90.0,40.0,0.0001,0.6933423157894736
0.08,90.0,40.0,1e-05,0.6933423157894736
0.08,90.0,40.0,1e-06,0.6933423157894736
0.08,90.0,50.0,0.001,0.6933423157894736
0.08,90.0,50.0,0.0001,0.6933423157894736
0.08,90.0,50.0,1e-05,0.6933423157894736
0.08,90.0,50.0,1e-06,0.6933423157894736
0.08,90.0,75.0,0.001,0.693344
0.08,90.0,75.0,0.0001,0.693344
0.08,90.0,75.0,1e-05,0.693344
0.08,90.0,75.0,1e-06,0.693344
0.08,90.0,100.0,0.001,0.693344
0.08,90.0,100.0,0.0001,0.693344
0.08,90.0,100.0,1e-05,0.693344
0.08,90.0,100.0,1e-06,0.693344
